日期,代码,名称,涨跌幅%,"主力净流入(亿,新浪口径)","特大单净(亿,新浪口径)","10:30主力净(亿,分笔重构)","10:30特大单净(亿,分笔重构)","全天主力净(亿,分笔重构)","全天特大单净(亿,分笔重构)",所属板块(通达信),板块涨跌%
2026-06-12,600584,长电科技,-4.22,-19.7,-20.43,-8.62,-8.77,-17.57,-18.31,半导体,-1.17
2026-06-15,600584,长电科技,7.85,15.09,15.84,7.6,7.65,14.09,14.87,半导体,6.05
2026-06-16,600584,长电科技,3.52,-0.68,-1.28,-1.38,-1.32,-0.56,-1.16,半导体,1.12
2026-06-17,600584,长电科技,6.29,10.51,9.14,14.49,14.56,11.94,10.61,半导体,5.26
2026-06-18,600584,长电科技,1.56,-9.93,-10.57,-0.55,-0.68,-8.9,-9.63,半导体,4.02
2026-06-22,600584,长电科技,10.01,24.41,22.88,8.8,8.79,14.69,15.5,半导体,2.34
2026-06-23,600584,长电科技,-5.63,-28.25,-28.64,-7.24,-7.33,-24.26,-24.66,半导体,-1.13
2026-06-24,600584,长电科技,10.0,91.7,85.27,24.61,25.67,12.21,16.96,半导体,5.08
2026-06-25,600584,长电科技,10.0,45.97,38.48,-0.54,1.92,-26.98,-21.86,半导体,4.12
2026-06-26,600584,长电科技,-3.15,-18.16,-18.83,-0.8,-0.8,-15.62,-16.37,半导体,-0.66
2026-06-29,600584,长电科技,2.34,-26.96,-28.03,-23.46,-23.48,-23.52,-24.59,半导体,4.42
2026-06-30,600584,长电科技,0.29,-8.99,-9.1,-8.87,-8.96,-7.11,-7.19,半导体,3.97
2026-07-01,600584,长电科技,2.98,4.91,5.02,9.26,9.34,5.88,5.93,半导体,-1.86
2026-07-02,600584,长电科技,-10.0,-47.57,-45.07,-9.63,-9.74,-12.64,-16.29,半导体,-7.71
2026-07-03,600584,长电科技,-5.31,-7.24,-6.69,-6.82,-6.74,-10.02,-9.51,半导体,-1.53
2026-07-06,600584,长电科技,4.63,4.67,4.16,0.12,0.07,3.41,2.87,半导体,0.49
2026-07-07,600584,长电科技,6.2,29.88,29.37,23.02,23.03,32.18,31.7,半导体,0.29
2026-07-08,600584,长电科技,-6.81,-27.94,-27.89,-25.89,-26.14,-30.74,-30.78,半导体,-0.2
2026-07-09,600584,长电科技,10.0,58.62,52.61,14.82,14.83,16.15,21.84,半导体,8.2
