code,name,board,issue_price,latest,first_close,apply_date,list_date,issue_pe,industry_pe,first_close_gt_latest,latest_vs_first_close_pct,first_close_vs_issue_pct,latest_vs_issue_pct,list_year
603589,口子窖,非科创板,16.0,19.25,23.04,2015-06-18,2015-06-29,22.98,28.4,True,-16.44965277777778,43.99999999999999,20.3125,2015
603117,万林物流,非科创板,5.93,3.49,8.54,2015-06-18,2015-06-29,22.98,86.13,True,-59.1334894613583,44.01349072512646,-41.14671163575041,2015
603116,红蜻蜓,非科创板,17.7,5.98,25.49,2015-06-18,2015-06-29,22.94,70.25,True,-76.53981953707336,44.01129943502824,-66.21468926553672,2015
601211,国泰海通,非科创板,19.71,19.17,28.38,2015-06-18,2015-06-26,22.99,50.79,True,-32.45243128964058,43.98782343987821,-2.73972602739726,2015
300483,首华燃气,非科创板,11.39,19.46,16.4,2015-06-18,2015-06-30,22.99,80.62,False,18.65853658536587,43.98595258999121,70.85162423178227,2015
002775,文科股份,非科创板,16.93,3.69,24.38,2015-06-18,2015-06-29,22.98,28.9,True,-84.86464315012306,44.00472533963378,-78.20437093916125,2015
002771,真视通,非科创板,12.78,12.61,18.4,2015-06-18,2015-06-29,22.98,178.83,True,-31.467391304347824,43.974960876369316,-1.3302034428794962,2015
002769,普路通,非科创板,28.49,6.73,41.03,2015-06-18,2015-06-29,19.64,86.13,True,-83.59736777967342,44.01544401544402,-76.37767637767638,2015
002768,国恩股份,非科创板,17.47,52.74,25.16,2015-06-18,2015-06-30,22.99,80.17,False,109.61844197138318,44.018317115054394,201.88895248998287,2015
300485,赛升药业,非科创板,38.46,9.73,55.38,2015-06-17,2015-06-26,22.99,67.35,True,-82.43048031780427,43.99375975039001,-74.70098803952159,2015
002773,康弘药业,非科创板,13.62,21.9,19.61,2015-06-17,2015-06-26,22.98,67.35,False,11.677715451300363,43.97944199706314,60.79295154185023,2015
002772,众兴菌业,非科创板,13.0,12.8,18.72,2015-06-17,2015-06-26,22.98,102.51,True,-31.62393162393161,43.99999999999999,-1.538461538461533,2015
603616,韩建河山,非科创板,11.35,5.65,16.34,2015-06-03,2015-06-11,20.64,36.11,True,-65.42227662178702,43.9647577092511,-50.22026431718061,2015
603066,音飞储存,非科创板,12.43,10.47,17.9,2015-06-03,2015-06-11,20.98,85.02,True,-41.508379888268145,44.00643604183428,-15.768302493966202,2015
601968,宝钢包装,非科创板,3.08,4.01,4.44,2015-06-03,2015-06-11,22.93,64.33,True,-9.684684684684697,44.15584415584417,30.194805194805173,2015
300479,神思电子,非科创板,11.02,13.51,15.87,2015-06-03,2015-06-12,22.96,77.44,True,-14.870825456836801,44.01088929219601,22.595281306715066,2015
300476,胜宏科技,非科创板,15.73,306.09,22.65,2015-06-03,2015-06-11,22.97,76.81,False,1251.3907284768213,43.99237126509852,1845.899554990464,2015
300473,德尔股份,非科创板,28.76,30.54,41.41,2015-06-03,2015-06-12,22.99,87.29,True,-26.249698140545764,43.984700973574384,6.189151599443665,2015
300472,*ST新元,非科创板,11.39,6.97,16.4,2015-06-03,2015-06-11,22.99,97.11,True,-57.49999999999999,43.98595258999121,-38.80597014925373,2015
300471,厚普股份,非科创板,54.01,9.24,77.77,2015-06-03,2015-06-11,21.85,97.11,True,-88.11881188118812,43.99185336048879,-82.89205702647658,2015
300469,信息发展,非科创板,10.14,53.74,14.6,2015-06-03,2015-06-11,22.98,158.28,False,268.082191780822,43.98422090729781,429.9802761341223,2015
002767,先锋电子,非科创板,14.87,16.4,21.41,2015-06-03,2015-06-12,22.43,89.55,True,-23.40028024287717,43.981170141223956,10.289172831203764,2015
002766,索菱股份,非科创板,7.53,3.64,10.84,2015-06-03,2015-06-11,22.82,77.44,True,-66.42066420664207,43.95750332005311,-51.66002656042497,2015
002760,凤形股份,非科创板,8.31,16.75,11.97,2015-06-03,2015-06-11,22.97,64.33,False,39.93316624895571,44.04332129963899,101.56438026474129,2015
601985,中国核电,非科创板,3.39,8.81,4.88,2015-06-02,2015-06-10,22.29,22.32,False,80.53278688524593,43.95280235988199,159.88200589970504,2015
601368,绿城水务,非科创板,6.43,4.22,9.26,2015-06-02,2015-06-12,22.96,45.23,True,-54.427645788336946,44.01244167962675,-34.3701399688958,2015
300478,杭州高新,非科创板,14.84,37.56,21.37,2015-06-02,2015-06-10,22.99,67.26,False,75.76041179223209,44.00269541778976,153.09973045822102,2015
300477,ST合纵,非科创板,10.61,2.55,15.28,2015-06-02,2015-06-10,15.38,40.77,True,-83.31151832460732,44.015080113100844,-75.96606974552309,2015
