code,name,trade,float_cap_yi,float_shares,turnoverratio
600606,绿地控股,1.28,179.8939944192,14054218313.999998,0.96871
600609,金杯汽车,3.22,42.0067855676,1304558558.0,1.55635
600610,中毅达,6.25,44.2954190625,708726705.0,1.70167
600611,大众交通,3.72,58.1553687408,1563316364.0,1.86031
600612,XD老凤祥,34.42,109.149134646,317109629.99999994,0.76396
600617,国新能源,2.88,51.1356294432,1775542689.0000002,1.76527
600618,氯碱化工,9.98,74.8340296048,749839975.9999999,0.87811
600619,海立股份,13.1,103.381898538,789174798.0,2.53373
600621,华鑫股份,14.06,149.1624404552,1060899292.0,2.25889
600622,光大嘉宝,2.06,30.8935192812,1499685402.0,1.77349
600623,华谊集团,8.11,152.1464168463,1876034733.0000002,0.82543
600626,申达股份,3.31,36.674095301,1107978710.0,1.23593
600628,新世界,6.06,39.2006482704,646875384.0000001,1.30122
600629,华建集团,13.75,158.098170725,1149804878.0,3.96894
600633,浙数文化,10.39,131.7529376408,1268074472.0,1.86585
600635,大众公用,4.4,106.4268337,2418791675.0,1.52355
600637,东方明珠,7.83,263.2367556711,3361899817.0,1.15401
600638,新黄浦,4.56,30.7068934416,673396786.0,2.12901
600639,浦东金桥,9.75,82.8980785425,850236703.0,0.51321
600640,国脉文化,10.22,80.896546948,791551339.9999999,0.82875
600641,先导基电,39.7,369.46007824,930629919.9999999,6.856
600642,申能股份,8.3,406.186491948,4893813156.0,0.35899
600643,爱建集团,3.98,63.2959982968,1590351716.0,1.09632
600644,乐山电力,8.07,46.6704900126,578320818.0,2.58904
600645,中源协和,18.94,88.59566925099999,467770165.0,3.37617
600648,外高桥,8.5,96.710508735,1137770691.0,0.23845
600649,城投控股,3.65,91.414278032,2504500768.0000005,0.77451
600650,锦江在线,9.98,38.977895485,390560075.0,0.68386
600651,飞乐音响,5.4,135.37951281000002,2507028015.0,0.71284
600653,申华控股,1.63,31.725999167100003,1946380317.0000002,1.2424
600654,中安科,2.65,61.411943309499996,2317431823.0,2.80525
600655,豫园股份,4.49,174.6540976577,3889846273.0,0.44533
600657,信达地产,2.48,70.726589156,2851878595.0,1.18241
600658,电子城,4.0,44.7434018,1118585045.0,1.19953
600662,外服控股,4.24,96.534710496,2276762040.0,0.60549
600663,陆家嘴,6.78,213.9553522836,3155683662.0,0.42889
600664,哈药股份,4.49,113.08109343240001,2518509876.0,4.4293
600666,奥瑞德,3.39,84.82198549740001,2502123466.0,3.50333
600667,太极实业,20.81,435.2499272418,2091542178.0000002,11.62169
600668,尖峰集团,7.34,30.3069035996,412900594.0,1.78217
600674,川投能源,15.62,761.4135865336,4874606828.0,1.06872
600675,中华企业,2.2,133.01497728200002,6046135331.0,0.64696
600676,交运股份,7.2,74.05149196800001,1028492944.0,1.42004
600679,上海凤凰,9.3,31.963565901,343694256.99999994,0.95393
600681,百川能源,3.52,47.1612687744,1339808771.9999998,1.37247
600682,南京新百,5.61,65.3037814275,1164060275.0,2.20523
600683,京投发展,9.52,70.5220272344,740777597.0000001,1.97842
600685,中船防务,25.6,210.287406336,821435180.9999999,1.5815
600686,XD金龙汽,10.72,76.8674831024,717047416.9999999,2.92272
600688,上海石化,2.84,208.1383034,7328813500.0,1.984
600691,潞化科技,2.37,56.301387062399996,2375585952.0,2.08255
600693,东百集团,8.41,73.0789289662,868952782.0,8.01957
600694,大商股份,14.75,55.872057622499995,378793611.0,1.05003
600698,湖南天雁,5.74,47.667929933399996,830451741.0,0.8986
600699,均胜电子,20.84,290.8577453292,1395670563.0,2.04537
600702,舍得酒业,34.2,113.52719583000001,331950865.0,4.08122
600703,三安光电,14.25,710.9351685975,4989018727.0,4.08051
600704,物产中大,4.94,255.45628656600002,5171179890.0,0.7628
600707,彩虹股份,10.62,381.0105255384,3587669732.0000005,3.92007
600708,光明地产,3.4,75.659444214,2225277771.0,1.64153
600710,苏美达,10.23,133.68046709819998,1306749434.0,1.02456
600711,盛屯矿业,10.11,312.46082780610004,3090611551.0,2.91288
600713,南京医药,5.41,69.7789218192,1289813711.9999998,3.10501
600714,金瑞矿业,14.99,43.1976233227,288176272.99999994,5.76047
600715,文投控股,1.54,44.0805325114,2862372241.0,1.24236
600716,凤凰股份,3.4,31.82606006,936060590.0,0.65228
600717,天津港,4.28,123.8632444264,2894001038.0,0.82225
600718,东软集团,7.75,92.72401103,1196438852.0,1.67212
600720,中交设计,5.19,52.3696831149,1009049770.9999999,1.04999
600722,金牛化工,8.06,54.8337658856,680319676.0,10.0515
600724,宁波富达,5.29,76.43746692559999,1444942664.0,0.47821
600725,云维股份,3.17,39.069299,1232470000.0,1.34094
600726,华电能源,5.93,443.2874371344,7475336208.000001,1.30477
600727,鲁北化工,7.06,37.317969331,528583135.0,2.89654
600728,佳都科技,4.26,90.84872851860001,2132599261.0000002,1.72363
600729,重百集团,19.84,38.188596249599996,192482844.0,2.21557
600732,爱旭股份,12.44,261.8935140032,2105253328.0,1.75518
600733,北汽蓝谷,4.67,259.4431478864,5555527792.000001,1.6684
600736,苏州高新,6.87,79.0938227109,1151292907.0,4.33643
600737,中粮糖业,12.02,257.0895570056,2138848227.9999998,1.41827
600739,辽宁成大,10.95,166.69359411599999,1522315928.0,2.37628
600740,山西焦化,3.57,91.46772519780001,2562121154.0000005,1.71425
600741,华域汽车,16.64,524.6132709376,3152723984.0,0.80604
600742,富维股份,7.29,54.168919452000004,743057880.0,0.64474
600743,华远控股,2.09,49.0335082666,2346100874.0,1.11818
600744,华银电力,5.5,111.71183507,2031124274.0,2.43335
600746,江苏索普,6.31,73.6908859804,1167842884.0,3.925
600748,上实发展,3.67,67.69545813639999,1844562891.9999998,0.90522
600749,西藏旅游,13.86,31.457420656199997,226965517.0,3.7856
600750,华润江中,25.43,159.91027099270002,628825289.0,0.96045
600751,海航科技,2.87,73.8505257924,2573189052.0,1.16353
600754,锦江酒店,17.98,162.9067225274,906044063.0000001,1.71735
600755,厦门国贸,5.91,126.01056658169999,2132158487.0,0.79846
600756,浪潮软件,14.13,45.795153798899996,324098752.99999994,6.67829
600757,长江传媒,7.7,93.439276931,1213497103.0,1.12568
600758,辽宁能源,3.13,41.3392682322,1320743394.0,4.12754
